,Guarantee,Signaler1,Signaler2,Upm,Us1,Us2,omega
786,0.450666246024,-0.15,0.05,-0.00450762698358,-0.0471492860146,-0.000293740639904,0.383527382587
787,0.450078401777,-0.15,0.15,-0.00442903815519,-0.0468943439121,-0.00696373239828,0.383527382587
788,0.284969967952,-0.05,0.05,-0,-0.0025,-0.0025,0.284969967952
789,0.284969967952,-0.05,0.15,-0,-0.0025,-0.0225,0.284969967952
790,0.449589713438,-0.15,0.05,-0.027099660604,-0.09898558425,-0.0131376860554,0.284969967952
791,0.449133892348,-0.15,0.15,-0.0269497940733,-0.0986989713922,-0.00020061675431,0.284969967952
792,0.0323956216677,-0.05,0.05,-0,-0.0025,-0.0025,0.0323956216677
793,0.0323956216677,-0.05,0.15,-0,-0.0025,-0.0225,0.0323956216677
794,0.0323956216677,-0.15,0.05,-0,-0.0225,-0.0025,0.0323956216677
795,0.0323956216677,-0.15,0.15,-0,-0.0225,-0.0225,0.0323956216677
796,0.654678009734,-0.05,0.05,-0,-0.0025,-0.0025,0.654678009734
797,0.450635278352,-0.05,0.15,-0.04163343623,-0.0237291630918,-0.125346255645,0.654678009734
798,0.654678009734,-0.15,0.05,-0,-0.0225,-0.0025,0.654678009734
799,0.449144126863,-0.15,0.15,-0.042244177008,-0.00308401214673,-0.126404341869,0.654678009734
800,0.743248686632,-0.05,0.05,-0,-0.0025,-0.0025,0.743248686632
801,0.449514414539,-0.05,0.15,-0.0862798226021,-0.0594063953928,-0.19690010423,0.743248686632
802,0.743248686632,-0.15,0.05,-0,-0.0225,-0.0025,0.743248686632
803,0.450490159225,-0.15,0.15,-0.0857075553699,-0.0203799971476,-0.196035113592,0.743248686632
804,0.449759463539,-0.05,0.05,-0.00119791356135,-0.00715900235152,-0.000236824771173,0.415148575637
805,0.448575007967,-0.05,0.15,-0.00111732637826,-0.00695996961118,-0.0135893966795,0.415148575637
806,0.449226910059,-0.15,0.05,-0.00116133287694,-0.0338848332033,-0.000253499434797,0.415148575637
807,0.449982666448,-0.15,0.15,-0.00121341388259,-0.0341636411257,-0.0132631866394,0.415148575637
808,0.4493354543,-0.05,0.05,-0.000173077171747,-0.0039886651458,-0.0013574891977,0.43617957456
809,0.450639537521,-0.05,0.15,-0.000209090528846,-0.00415508682499,-0.0183711016404,0.43617957456
810,0.449896613527,-0.15,0.05,-0.000188157158036,-0.0268032688483,-0.00131645326129,0.43617957456
811,0.449577738287,-0.15,0.15,-0.000179510791274,-0.0266989599096,-0.018660061673,0.43617957456
812,0.228044167898,-0.05,0.05,-0,-0.0025,-0.0025,0.228044167898
813,0.228044167898,-0.05,0.15,-0,-0.0025,-0.0225,0.228044167898
814,0.451308681629,-0.15,0.05,-0.0498470430918,-0.139326397211,-0.0300205917186,0.228044167898
815,0.451859130208,-0.15,0.15,-0.0500931373541,-0.139737626047,-0.00544864866093,0.228044167898
816,0.672594306247,-0.05,0.05,-0,-0.0025,-0.0025,0.672594306247
817,0.449619090025,-0.05,0.15,-0.0497179470493,-0.0299204254271,-0.139110511916,0.672594306247
818,0.672594306247,-0.15,0.05,-0,-0.0225,-0.0025,0.672594306247
819,0.451303251557,-0.15,0.15,-0.048969730886,-0.00508241447886,-0.137857047293,0.672594306247
820,0.0905279312624,-0.05,0.05,-0,-0.0025,-0.0025,0.0905279312624
821,0.0905279312624,-0.05,0.15,-0,-0.0025,-0.0225,0.0905279312624
822,0.0905279312624,-0.15,0.05,-0,-0.0225,-0.0025,0.0905279312624
823,0.0905279312624,-0.15,0.15,-0,-0.0225,-0.0225,0.0905279312624
824,0.265060229816,-0.05,0.05,-0,-0.0025,-0.0025,0.265060229816
825,0.265060229816,-0.05,0.15,-0,-0.0025,-0.0225,0.265060229816
826,0.451154055743,-0.15,0.05,-0.034630912048,-0.112959059826,-0.0185215294554,0.265060229816
827,0.449984186613,-0.15,0.15,-0.0341968697974,-0.112174056836,-0.00121968275835,0.265060229816
828,0.866728940677,-0.05,0.05,-0,-0.0025,-0.0025,0.866728940677
829,0.866728940677,-0.05,0.15,-0,-0.0025,-0.0225,0.866728940677
830,0.866728940677,-0.15,0.05,-0,-0.0225,-0.0025,0.866728940677
831,0.866728940677,-0.15,0.15,-0,-0.0225,-0.0225,0.866728940677
832,0.230157070825,-0.05,0.05,-0,-0.0025,-0.0025,0.230157070825
833,0.230157070825,-0.05,0.15,-0,-0.0025,-0.0225,0.230157070825
834,0.450349240338,-0.15,0.05,-0.0484845915152,-0.137042242369,-0.0289653745638,0.230157070825
835,0.451167190357,-0.15,0.15,-0.0488454729355,-0.137648508795,-0.00504243707594,0.230157070825
836,0.659813572043,-0.05,0.05,-0,-0.0025,-0.0025,0.659813572043
837,0.450102251121,-0.05,0.15,-0.0439788381229,-0.0255077060307,-0.1293922344,0.659813572043
838,0.659813572043,-0.15,0.05,-0,-0.0225,-0.0025,0.659813572043
839,0.449957739407,-0.15,0.15,-0.0440394704913,-0.00358272070053,-0.129496220282,0.659813572043
840,0.12764360361,-0.05,0.05,-0,-0.0025,-0.0025,0.12764360361
841,0.12764360361,-0.05,0.15,-0,-0.0025,-0.0225,0.12764360361
842,0.12764360361,-0.15,0.05,-0,-0.0225,-0.0025,0.12764360361
843,0.12764360361,-0.15,0.15,-0,-0.0225,-0.0225,0.12764360361
844,0.450453141209,-0.05,0.05,-1.93097039265e-05,-0.00207988162191,-0.00295873778594,0.454847422029
845,0.448610036031,-0.05,0.15,-3.89049840897e-05,-0.00191516638428,-0.0244101207835,0.454847422029
846,0.45079030072,-0.15,0.05,-1.64602333116e-05,-0.0212993238408,-0.00292217236416,0.454847422029
847,0.44996057974,-0.15,0.15,-2.38812275512e-05,-0.021057828541,-0.0239899339141,0.454847422029
848,0.780670084498,-0.05,0.05,-0,-0.0025,-0.0025,0.780670084498
849,0.780670084498,-0.05,0.15,-0,-0.0025,-0.0225,0.780670084498
850,0.780670084498,-0.15,0.05,-0,-0.0225,-0.0025,0.780670084498
851,0.780670084498,-0.15,0.15,-0,-0.0225,-0.0225,0.780670084498
852,0.450424503768,-0.05,0.05,-0.00361575863292,-0.0121288764872,-0.000102640778662,0.390293325225
853,0.451093447626,-0.05,0.15,-0.00369665488394,-0.012276667124,-0.00795661816373,0.390293325225
854,0.450717161002,-0.15,0.05,-0.00365103992997,-0.044278190663,-0.000108656352299,0.390293325225
855,0.449581167292,-0.15,0.15,-0.00351504821701,-0.0438014008372,-0.00822869559679,0.390293325225
856,0.302097059337,-0.05,0.05,-0,-0.0025,-0.0025,0.302097059337
857,0.302097059337,-0.05,0.15,-0,-0.0025,-0.0225,0.302097059337
858,0.449762996798,-0.15,0.05,-0.0218052290861,-0.0886050103243,-0.00953863534006,0.302097059337
859,0.449691139073,-0.15,0.15,-0.0217840123729,-0.0885622362935,-5.78845232008e-06,0.302097059337
860,0.892241141853,-0.05,0.05,-0,-0.0025,-0.0025,0.892241141853
861,0.892241141853,-0.05,0.15,-0,-0.0025,-0.0225,0.892241141853
862,0.892241141853,-0.15,0.05,-0,-0.0225,-0.0025,0.892241141853
863,0.892241141853,-0.15,0.15,-0,-0.0225,-0.0225,0.892241141853
864,0.844288300392,-0.05,0.05,-0,-0.0025,-0.0025,0.844288300392
865,0.844288300392,-0.05,0.15,-0,-0.0025,-0.0225,0.844288300392
866,0.844288300392,-0.15,0.05,-0,-0.0225,-0.0025,0.844288300392
867,0.844288300392,-0.15,0.15,-0,-0.0225,-0.0225,0.844288300392
868,0.615829217053,-0.05,0.05,-0,-0.0025,-0.0025,0.615829217053
869,0.45026645119,-0.05,0.15,-0.0274110294403,-0.013354752854,-0.0995798591992,0.615829217053
870,0.615829217053,-0.15,0.05,-0,-0.0225,-0.0025,0.615829217053
871,0.450546938481,-0.15,0.15,-0.0273182316099,-0.000233548038346,-0.0994029151814,0.615829217053
872,0.449961137161,-0.05,0.05,-7.95755694085e-05,-0.00347162696596,-0.00168752417286,0.441040623195
873,0.451575993263,-0.05,0.15,-0.000110994022459,-0.00366453102921,-0.0194503830022,0.441040623195
874,0.450319844301,-0.15,0.05,-8.61039443353e-05,-0.0253698702762,-0.00165818183373,0.441040623195
875,0.450393613537,-0.15,0.15,-8.74784283266e-05,-0.0253933755308,-0.0197815813259,0.441040623195
