,Alpha,Guarantee,Signaler1,Signaler2,Upm,Us1,Us2,Xreal
1927,0.6563156266252648,0.7997547955828054,-0.15,0.15,-0.020574795191229883,-0.08610654587849208,-4.304450396769872e-05,0.1434391689575406
1928,0.6516074661885554,0.6516074661885554,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
1929,0.6516074661885554,0.6516074661885554,-0.05,0.15,-0.0,-0.0025000000000000005,-0.0225,0.0
1930,0.6516074661885554,0.7998376967159447,-0.15,0.05,-0.021972201242202997,-0.08894127040041983,-0.009649178189464059,0.14823023052738937
1931,0.6516074661885554,0.7998729026560184,-0.15,0.15,-0.021982639650887318,-0.08896227059112624,-3.008710648407075e-06,0.14826543646746304
1932,0.878456780645296,0.8000082137838259,-0.05,0.05,-0.0061541776426185385,-0.0008093209564715323,-0.016499034328765542,-0.07844856686147006
1933,0.878456780645296,0.7996959499796269,-0.05,0.15,-0.006203268447146199,-0.0008271853805792908,-0.05233151764684692,-0.07876083066566908
1934,0.878456780645296,0.8006129221256899,-0.15,0.05,-0.006059666309220446,-0.005206508753338625,-0.01634405216118105,-0.07784385851960607
1935,0.878456780645296,0.7998463436186812,-0.15,0.15,-0.006179600809515362,-0.0050964697015309385,-0.052262731917499784,-0.07861043702661474
1936,0.6689764153768599,0.6689764153768599,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
1937,0.6689764153768599,0.6689764153768599,-0.05,0.15,-0.0,-0.0025000000000000005,-0.0225,0.0
1938,0.6689764153768599,0.8001897462284855,-0.15,0.05,-0.01721693819317815,-0.07908093744866583,-0.0065956051080155965,0.13121333085162556
1939,0.6689764153768599,0.7999584413346241,-0.15,0.15,-0.017156291124000415,-0.07895089891132968,-0.00036168333667115435,0.1309820259577642
1940,0.8855974553583954,0.8004663820315128,-0.05,0.05,-0.0072472996457870675,-0.0012341923130988043,-0.01826040697847533,-0.08513107332688263
1941,0.8855974553583954,0.800273762856454,-0.05,0.15,-0.007280132502165849,-0.0012477632519717098,-0.05537724025274826,-0.08532369250194138
1942,0.8855974553583954,0.7999055879722292,-0.15,0.05,-0.007343096136128292,-0.004135535920278435,-0.018412282874744907,-0.08569186738616619
1943,0.8855974553583954,0.7998767076833533,-0.15,0.15,-0.007348046581968239,-0.004131822279455602,-0.05556427088448087,-0.08572074767504212
1944,0.7883195020964033,0.7995556419809559,-0.05,0.05,-0.00012625083950523194,-0.0037498648279604843,-0.0015026368510499802,0.01123613988455252
1945,0.7883195020964033,0.7997733319860731,-0.05,0.15,-0.0001311902191414935,-0.0037765732081084745,-0.01919504125224055,0.011453829889669809
1946,0.7883195020964033,0.8001225767934894,-0.15,0.05,-0.00013931257230499365,-0.026180234981430815,-0.0014590051025963858,0.01180307469708608
1947,0.7883195020964033,0.8002931787793585,-0.15,0.15,-0.00014336893330794325,-0.02623547193819448,-0.019051265928421404,0.011973676682955126
1948,0.9002361355474062,0.9002361355474062,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
1949,0.9002361355474062,0.7999194958089032,-0.05,0.15,-0.010063428208424603,-0.002531764234574301,-0.06265842012997552,-0.10031663973850302
1950,0.9002361355474062,0.9002361355474062,-0.15,0.05,-0.0,-0.0225,-0.0025000000000000005,0.0
1951,0.9002361355474062,0.8001827729401498,-0.15,0.15,-0.010010675369019131,-0.0024946665868422137,-0.06252668415119605,-0.10005336260725639
1952,0.8869119190329796,0.8004471138609058,-0.05,0.05,-0.007476162533444676,-0.0013296820162372984,-0.01862264305065205,-0.08646480517207378
1953,0.8869119190329796,0.799754915061224,-0.05,0.15,-0.007596343341332627,-0.0013806429441570636,-0.056243444532859316,-0.08715700397175563
1954,0.8869119190329796,0.8004155344049286,-0.15,0.05,-0.0074816245537237345,-0.004032709165308439,-0.01863126301652883,-0.08649638462805098
1955,0.8869119190329796,0.7998826883023398,-0.15,0.15,-0.0075740870015669455,-0.003965317782374993,-0.056182856220758894,-0.08702923073063984
1956,0.7135012052317228,0.7996720893962442,-0.05,0.05,-0.007425421277695374,-0.018542509694147516,-0.0013083328612432288,0.08617088416452146
1957,0.7135012052317228,0.7998544404265161,-0.05,0.15,-0.007456881228607292,-0.01859220474808662,-0.004050910670169295,0.08635323519479332
1958,0.7135012052317228,0.7999600312069947,-0.15,0.05,-0.0074751285890223475,-0.055912776381603906,-0.0013292459914951594,0.08645882597527188
1959,0.7135012052317228,0.8003287202604775,-0.15,0.15,-0.0075390173660686306,-0.056087271874695054,-0.003990762857442208,0.08682751502875474
1960,0.6654112654614608,0.6654112654614608,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
1961,0.6654112654614608,0.6654112654614608,-0.05,0.15,-0.0,-0.0025000000000000005,-0.0225,0.0
1962,0.6654112654614608,0.800115999947734,-0.15,0.05,-0.018145365493017356,-0.08105678583889932,-0.007174892044390036,0.13470473448627318
1963,0.6654112654614608,0.7996102413342958,-0.15,0.15,-0.018009365125317756,-0.08076905788716827,-0.0002496723634672495,0.13419897587283502
1964,0.7621999648807244,0.800174689368258,-0.05,0.05,-0.0014420796999040828,-0.007739552148657442,-0.00014460725115072448,0.037974724487533584
1965,0.7621999648807244,0.7997743158496404,-0.05,0.15,-0.0014118318507352816,-0.007669266947626886,-0.012639526560060468,0.03757435096891604
